Internet use by individuals,,,,,,,,,,,,,,,,,,,,,,,,
% of individuals aged 16 to 74,,,,,,,,,,,,,,,,,,,,,,,,
Last internet use: in last 3 months,,,,,,,,,,,,,,,,,,,,,,,,
geo\time,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,
EU (28 countries),:,,:,,57,,61,,65,,68,,71,,73,,75,,78,,79,,82,
EU (27 countries),51,,52,,57,,62,,65,,69,,71,,74,,75,,78,,80,,82,
Euro area (changing composition),51,,53,,59,,62,,66,,69,,72,,74,,76,,78,,80,,82,
Euro area (19 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Belgium,58,,62,,67,,69,,75,,78,,82,,81,,82,,85,,85,,87,
Bulgaria,:,,24,,31,,35,,42,,43,,48,,52,,53,,55,,57,,59,
Czech Republic,32,,44,,49,,58,,60,,66,,70,,73,,74,,80,,81,,82,
Denmark,77,,83,,81,,84,,86,,88,,90,,92,,95,,96,,96,,97,
Germany,65,,69,,72,,75,,77,,80,,81,,82,,84,,86,,88,,90,
Estonia,58,,61,,63,,66,,71,,74,,76,,78,,79,,84,(b),88,,87,
Ireland,37,,51,,58,,63,,65,,67,,75,,77,,78,,80,,80,,82,
Greece,22,,29,,33,,38,,42,,44,,52,,55,,60,,63,,67,,69,
Spain,44,,47,,51,,56,,59,,64,,66,,69,,72,,76,,79,,81,
France,:,,47,,62,,68,,71,,75,,78,,81,,82,,84,,85,,86,
Croatia,:,,:,,38,,42,,47,,54,,58,,62,,67,,69,,70,,73,
Italy,34,,36,,38,,42,,46,,51,,54,,56,,58,,62,,66,,69,
Cyprus,31,,34,,38,,39,,48,,52,,57,,61,,65,,69,,72,,76,
Latvia,42,,50,,55,,61,,64,,66,,70,,73,,75,,76,,79,,80,(b)
Lithuania,34,,42,,49,,53,,58,,60,,63,,66,,68,,72,,71,,74,
Luxembourg,69,,71,,78,,81,,86,,90,,90,,92,,94,,95,,97,,97,
Hungary,37,,44,,51,,58,,59,,61,,67,,70,,72,,76,,73,,79,
Malta,38,,38,,45,,49,,58,,62,,68,,69,,69,,73,,76,,77,
Netherlands,79,,81,,84,,87,,89,,90,,91,,93,,94,,93,,93,,93,
Austria,55,,61,,67,,71,,72,,74,,79,,80,,81,,81,,84,,84,
Poland,35,,40,,44,,49,,56,,59,,62,,62,,63,,67,,68,,73,
Portugal,32,,36,,40,,42,,46,,51,,55,,60,,62,,65,,69,,70,
Romania,:,,21,,24,,29,,33,,36,,40,,46,,50,,54,(b),56,,60,
Slovenia,47,,51,,53,,56,,62,,68,,67,,68,,73,,72,,73,,75,
Slovakia,50,,50,,56,,66,,70,,76,,74,,77,,78,,80,,78,,80,
Finland,73,,77,,79,,83,,82,,86,,89,,90,,92,,92,,92,,94,
Sweden,81,,86,,80,,88,,90,,91,,93,,93,,95,,93,,91,,93,(b)
United Kingdom,66,,66,,72,,76,,82,,83,,85,,87,,90,,92,,92,,95,
Iceland,86,,88,,90,,91,,93,,93,,95,,96,,97,,98,,:,,:,
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,80,,81,,85,,89,,91,,93,,93,,95,,95,,96,,97,,97,
Switzerland,:,,:,,:,,:,,:,,:,,:,,:,,:,,90,,:,,:,
Montenegro,:,,:,,:,,:,,:,,:,,:,,57,,:,,:,,:,,:,
"Former Yugoslav Republic of Macedonia, the",:,,25,,:,,42,,50,,52,,:,,57,,65,,68,,70,,72,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,30,,:,,38,,:,,:,,:,,:,,:,,65,,:,
Turkey,14,,:,,27,,32,,34,,38,,:,,43,,43,,48,,52,,58,
Canada,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
United States,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Japan,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
South Korea,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
:=not available b=break in time series u=low reliability ,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,,
Last update:,28.11.2017,,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,29 Nov 2017 21:12:44 CET,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tin00028,,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm,,,,,,,,,,,,,,,,,,,,,,,
Short Description:,"Last internet use: within last 3 months, 12 months before the survey, ever used, never used - whether at home, at work or from anywhere else and whether for private or work/business related purposes.",,,,,,,,,,,,,,,,,,,,,,,
Code:,tin00028,,,,,,,,,,,,,,,,,,,,,,,
